"Precinct","Registered","Ballots Cast","Donald J. Trump","Hillary Rodham Clinton","Percent Trump","Percent Clinton","Voter turnout","Democrat minus Republican"
1250,60,47,29,17,61.70212766,36.17021277,78.33333333,-25.53191489
1252,2319,2070,905,1098,43.71980676,53.04347826,89.2626132,9.3236715
1254,453,377,160,198,42.4403183,52.5198939,83.22295806,10.0795756
1256,5,5,5,0,100,0,100,-100
1258,768,521,209,284,40.11516315,54.51055662,67.83854167,14.39539347
1260,1297,1049,537,459,51.19161106,43.75595806,80.87895143,-7.435653
1262,0,0,0,0,0,0,0,0
1264,1,1,1,0,100,0,100,-100
1266,470,302,109,173,36.09271523,57.28476821,64.25531915,21.19205298
1268,287,170,56,100,32.94117647,58.82352941,59.23344948,25.88235294
1270,9,8,0,7,0,87.5,88.88888889,87.5
1272,1899,1459,675,725,46.26456477,49.69156957,76.82991048,3.4270048
1274,1597,1195,562,570,47.0292887,47.69874477,74.82780213,0.669456070000003
1276,286,180,95,77,52.77777778,42.77777778,62.93706294,-10
1278,819,555,190,328,34.23423423,59.0990991,67.76556777,24.86486487
1280,392,303,164,130,54.12541254,42.90429043,77.29591837,-11.22112211
1282,188,110,59,42,53.63636364,38.18181818,58.5106383,-15.45454546
1284,2263,1632,721,838,44.17892157,51.34803922,72.1166593,7.16911765
1286,151,110,58,43,52.72727273,39.09090909,72.84768212,-13.63636364
1288,39,27,11,14,40.74074074,51.85185185,69.23076923,11.11111111
1290,2134,1675,831,777,49.6119403,46.3880597,78.49109653,-3.2238806
1292,68,58,36,21,62.06896552,36.20689655,85.29411765,-25.86206897
1294,133,106,74,27,69.81132075,25.47169811,79.69924812,-44.33962264
1296,704,465,242,203,52.04301075,43.65591398,66.05113636,-8.38709676999999
1298,82,70,34,34,48.57142857,48.57142857,85.36585366,0
1300,3,3,2,1,66.66666667,33.33333333,100,-33.33333334
1302,133,99,61,32,61.61616162,32.32323232,74.43609023,-29.2929293
1304,661,438,234,180,53.42465753,41.09589041,66.26323752,-12.32876712
1306,7,2,0,1,0,50,28.57142857,50
1308,138,113,67,44,59.2920354,38.9380531,81.88405797,-20.3539823
1310,4,3,2,1,66.66666667,33.33333333,75,-33.33333334
1312,24,15,12,3,80,20,62.5,-60
1314,221,189,120,60,63.49206349,31.74603175,85.52036199,-31.74603174
1316,453,315,155,146,49.20634921,46.34920635,69.53642384,-2.85714286
1318,0,0,0,0,0,0,0,0
1320,189,160,115,38,71.875,23.75,84.65608466,-48.125
1322,8,8,5,3,62.5,37.5,100,-25
